"297179","2017-06-20 07:09:11.359868","YB0_S1","20769","9234","5016","59530","5489","2686","1001","1405","23039"
"297179","2017-06-20 07:09:11.359868","YB0_S2","30243","12040","38486","29724","5650","2557","1020","1825","7325"
"297179","2017-06-20 07:09:11.359868","YB0_S3","27414","18492","5944","27903","5871","2631","1077","2430","23039"
"297179","2017-06-20 07:09:11.359868","YB0_S4","28172","11928","6379","25556","5870","2805","1142","2098","2147"
"297179","2017-06-20 07:09:11.359868","YB0_S5","45829","1866","5429","61835","5691","2748","1041","2664","23039"
"297179","2017-06-20 07:09:11.359868","YB0_S6","28584","23370","4973","46080","5756","2650","1066","2029","23039"
"297179","2017-06-20 07:09:11.359868","YB0_S7","23851","38082","4481","41032","5534","2688","1040","1370","22995"
"297179","2017-06-20 07:09:11.359868","YB0_S8","21347","6399","26365","35169","5645","2729","1030","1006","26189"
"297179","2017-06-20 07:09:11.359868","YB0_S9","28115","12526","4038","4023","5844","2630","975","271","23039"
"297179","2017-06-20 07:09:11.359868","YB0_S10","26456","11254","4049","5773","5754","2727","1040","302","336"
"297179","2017-06-20 07:09:11.359868","YB0_S11","47648","13890","18338","35301","5686","2643","999","271","53839"
"297179","2017-06-20 07:09:11.359868","YB0_S12","28147","25668","19408","31161","5723","2398","996","1013","0"
"297179","2017-06-20 07:09:11.359868","YB+1_S1","59877","20285","21710","22647","7647","2967","1151","1769","23039"
"297179","2017-06-20 07:09:11.359868","YB+1_S2","19018","22849","9500","56075","8097","3067","1186","2278","23039"
"297179","2017-06-20 07:09:11.359868","YB+1_S3","18106","22247","7022","6568","8239","3182","1262","2827","9348"
"297179","2017-06-20 07:09:11.359868","YB+1_S4","9921","17133","5971","59591","7048","2735","860","2155","2284"
"297179","2017-06-20 07:09:11.359868","YB+1_S5","19740","20573","5939","9681","8126","2946","1171","2767","23039"
"297179","2017-06-20 07:09:11.359868","YB+1_S6","20183","21990","14440","51738","7930","3124","1227","2434","59590"
"297179","2017-06-20 07:09:11.359868","YB+1_S7","49169","18785","4991","11928","7335","2993","1162","1774","23039"
"297179","2017-06-20 07:09:11.359868","YB+1_S8","15577","33592","6871","55878","8259","3152","1181","1287","0"
